{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': 'CONNECTED', 'TRANSMITRATE': 145.0, 'RTT': 71.21, 'ROAM': 'FALSE', 'RSSI': '-67', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:14'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 177.62, 'ROAM': 'FALSE', 'RSSI': '-66', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:15'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 47.96, 'ROAM': 'FALSE', 'RSSI': '-67', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:17'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.55, 'ROAM': 'FALSE', 'RSSI': '-67', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:18'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.66, 'ROAM': 'FALSE', 'RSSI': '-67', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:19'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.27, 'ROAM': 'FALSE', 'RSSI': '-67', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:20'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.97, 'ROAM': 'FALSE', 'RSSI': '-68', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:21'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.48, 'ROAM': 'FALSE', 'RSSI': '-67', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:22'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.79, 'ROAM': 'FALSE', 'RSSI': '-67', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:23'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 76.68, 'ROAM': 'FALSE', 'RSSI': '-67', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:24'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.83, 'ROAM': 'FALSE', 'RSSI': '-68', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:25'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.5, 'ROAM': 'FALSE', 'RSSI': '-67', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:26'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 47.58, 'ROAM': 'FALSE', 'RSSI': '-66', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:27'}
